index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
1244,RTP Arena Fall Cup 2023 - BLAST Premier Qualifier,2023-09-09,saw,movistar riders,17,-1,L,70.0,26.1
1245,ESL Pro League Season 18,2023-09-09,mibr,mouz,27,6,L,64.66666666666667,23.5
1246,ESL Pro League Season 18,2023-09-08,heroic,mouz,11,6,L,58.166666666666664,24.2
1247,RTP Arena Fall Cup 2023 - BLAST Premier Qualifier,2023-09-08,movistar riders,n00rg,-1,-1,W,57.833333333333336,25.7
1248,ESL Pro League Season 18,2023-09-08,monte,mibr,22,27,L,43.5,21.3
1249,RTP Arena Fall Cup 2023 - BLAST Premier Qualifier,2023-09-08,movistar riders,ftw,-1,-1,L,57.833333333333336,25.7
1250,RTP Arena Fall Cup 2023 - BLAST Premier Qualifier,2023-09-08,n00rg,movistar riders,-1,-1,L,57.833333333333336,25.7
1251,ESL Pro League Season 18,2023-09-08,ence,mibr,12,27,W,50.5,25.6
1252,ESL Pro League Season 18,2023-09-07,evil geniuses,mouz,-1,6,L,50.5,25.6
1253,ESL Pro League Season 18,2023-09-07,heroic,big,11,-1,L,58.166666666666664,24.2
1254,RTP Arena Fall Cup 2023 - BLAST Premier Qualifier,2023-09-07,los alpacas,saw,-1,17,L,58.166666666666664,24.2
1255,RTP Arena Fall Cup 2023 - BLAST Premier Qualifier,2023-09-07,camaro peek,saw,-1,17,L,58.166666666666664,24.2
1256,ESL Pro League Season 18,2023-09-07,rooster,monte,-1,22,L,42.333333333333336,22.3
1257,ESL Pro League Season 18,2023-09-06,mouz,mibr,6,27,L,57.5,20.5
1258,Thunderpick World Championship 2023 Europe Series 2,2023-09-06,falcons,zero tenacity,10,-1,W,44.166666666666664,28.4
1259,ESL Pro League Season 18,2023-09-06,evil geniuses,ence,-1,12,L,44.166666666666664,28.4
1260,ESL Pro League Season 18,2023-09-06,big,monte,-1,22,W,43.0,24.7
1261,ESL Pro League Season 18,2023-09-06,heroic,rooster,11,-1,W,58.166666666666664,24.2
1262,Thunderpick World Championship 2023 Europe Series 2,2023-09-04,rhyno,9 pandas,-1,23,L,48.714285714285715,23.1
1263,Thunderpick World Championship 2023 Europe Series 2,2023-09-04,eternal fire,astralis talent,8,-1,L,59.0,26.5
1264,CCT South America Series 10,2023-09-04,fluxo,pain,-1,14,W,55.0,24.5
1265,CCT South America Series 10,2023-09-03,pain,sharks,14,-1,W,69.66666666666667,22.0
1266,ESL Pro League Season 18,2023-09-03,gamerlegion,furia,21,15,L,33.57142857142857,22.9
1267,ESL Pro League Season 18,2023-09-03,movistar riders,vitality,-1,4,L,57.833333333333336,25.7
1268,ESL Pro League Season 18,2023-09-03,grayhound,furia,-1,15,L,57.833333333333336,25.7
1269,ESL Pro League Season 18,2023-09-02,gamerlegion,ninjas in pyjamas,21,-1,W,33.57142857142857,22.9
1270,ESL Pro League Season 18,2023-09-02,astralis,furia,25,15,W,60.333333333333336,22.6
1271,CCT South America Series 10,2023-09-02,solid,pain,-1,14,L,41.833333333333336,0
