index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
0,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2024-04-08,red canids,imperial,-1,19,L,58.5,0
1,RES Regional Series 3 LATAM,2024-04-07,pain,galorys,14,-1,W,69.66666666666667,22.0
2,RES Regional Series 3 LATAM,2024-04-07,imperial,furia academy,19,-1,W,70.66666666666667,24.0
3,LuckyCasino Cup 2024,2024-04-07,metizport,eyeballers,29,-1,W,51.857142857142854,20.7
4,LuckyCasino Cup 2024,2024-04-07,metizport,johnny speeds,29,-1,W,51.857142857142854,20.7
5,RES Regional Series 3 LATAM,2024-04-07,mibr,bounty hunters,27,-1,W,64.66666666666667,23.5
6,A1 Gaming League Season 8,2024-04-06,betboom,alliance,30,-1,W,53.0,22.0
7,LuckyCasino Cup 2024,2024-04-06,metizport,young gods,29,-1,W,51.857142857142854,20.7
8,ESL Challenger League Season 47 South America,2024-04-06,fluxo,mibr,-1,27,L,55.0,24.5
9,ESL Challenger League Season 47 South America,2024-04-06,mibr,fluxo,27,-1,L,64.66666666666667,23.5
10,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2024-04-05,mibr,oddik,27,-1,W,64.66666666666667,23.5
11,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,2024-04-05,betboom,bleed,30,-1,W,53.0,22.0
12,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2024-04-05,pain,sharks,14,-1,W,69.66666666666667,22.0
13,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-05,9 pandas,secret,23,-1,L,51.857142857142854,26.0
14,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-05,saw,pge turow,17,-1,W,70.0,26.1
15,ESL Challenger League Season 47 South America,2024-04-05,sharks,pain,-1,14,L,52.0,23.0
16,ESL Challenger League Season 47 South America,2024-04-05,solid,mibr,-1,27,L,41.833333333333336,0
17,ESL Challenger League Season 47 South America,2024-04-05,oddik,imperial,-1,19,L,40.833333333333336,25.2
18,ESL Challenger League Season 47 South America,2024-04-05,mibr,solid,27,-1,W,64.66666666666667,23.5
19,ESL Challenger League Season 47 South America,2024-04-05,pain,sharks,14,-1,W,69.66666666666667,22.0
20,ESL Challenger League Season 47 South America,2024-04-05,imperial,oddik,19,-1,W,70.66666666666667,24.0
21,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2024-04-04,imperial,bestia,19,-1,W,70.66666666666667,24.0
22,ESL Challenger League Season 47 Europe,2024-04-04,9 pandas,tsm,23,-1,W,51.857142857142854,26.0
23,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,2024-04-04,betboom,alliance,30,-1,W,53.0,22.0
24,ESL Challenger League Season 47 Europe,2024-04-04,betera,saw,-1,17,L,50.0,22.6
25,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-04,koi,nom,26,-1,W,57.833333333333336,25.7
26,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-04,ninjas in pyjamas,metizport,-1,29,W,66.83333333333333,0
27,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-04,ence,aurora young blud,12,-1,W,50.5,25.6
28,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,2024-04-04,betboom,bleed,30,-1,W,53.0,22.0
29,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-04,ecstatic,jano,18,-1,W,63.833333333333336,23.4
30,ESL Challenger Jönköping 2024 South America Closed Qualifier,2024-04-04,mibr,fluxo,27,-1,W,64.66666666666667,23.5
31,ESL Challenger League Season 47 South America,2024-04-04,case,imperial,-1,19,L,50.5,22.5
32,ESL Challenger League Season 47 South America,2024-04-04,imperial,case,19,-1,W,70.66666666666667,24.0
33,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-03,monte,metizport,22,29,L,43.5,21.3
34,ESL Challenger League Season 47 Europe,2024-04-03,koi,9ine,26,-1,W,57.833333333333336,25.7
35,ESL Challenger League Season 47 Europe,2024-04-03,9 pandas,eyeballers,23,-1,W,51.857142857142854,26.0
36,ESL Challenger League Season 47 Europe,2024-04-03,saw,pera,17,-1,W,70.0,26.1
37,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-03,metizport,blessed,29,-1,W,51.857142857142854,20.7
38,ESL Challenger Jönköping 2024 Asia Closed Qualifier,2024-04-03,lynn vision,themongolz,-1,16,L,50.5,20.6
39,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-03,apeks,monte,20,22,L,39.166666666666664,25.7
40,ESL Challenger League Season 47 Europe,2024-04-03,9 pandas,9ine,23,-1,W,51.857142857142854,26.0
41,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-03,big,eyeballers,-1,-1,W,43.0,24.7
42,ESL Challenger Jönköping 2024 Asia Closed Qualifier,2024-04-03,themongolz,lyg,16,-1,W,71.33333333333333,19.6
43,ESL Challenger Jönköping 2024 South America Closed Qualifier,2024-04-03,fluxo,mibr,-1,27,L,55.0,24.5
44,ESL Challenger Jönköping 2024 South America Closed Qualifier,2024-04-03,mibr,sharks,27,-1,W,64.66666666666667,23.5
45,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-02,monte,gamerlegion,22,21,W,43.5,21.3
46,ESL Challenger League Season 47 Europe,2024-04-02,koi,tsm,26,-1,W,57.833333333333336,25.7
47,ESL Challenger League Season 47 Europe,2024-04-02,9 pandas,sangal,23,-1,W,51.857142857142854,26.0
48,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-02,aurora,apeks,28,20,W,68.5,22.4
49,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-02,metizport,b8,29,-1,W,51.857142857142854,20.7
50,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-02,blessed,gamerlegion,-1,21,W,55.333333333333336,23.5
51,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-02,monte,ninjas in pyjamas,22,-1,L,43.5,21.3
52,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-02,apeks,b8,20,-1,W,39.166666666666664,25.7
53,ESL Challenger Jönköping 2024 Europe Closed Qualifier,2024-04-02,aurora,metizport,28,29,W,68.5,22.4
54,ESL Challenger Jönköping 2024 Asia Closed Qualifier,2024-04-02,atox,themongolz,-1,16,L,55.333333333333336,24.0
55,ESL Challenger Jönköping 2024 Asia Closed Qualifier,2024-04-02,themongolz,lyg,16,-1,L,71.33333333333333,19.6
56,YaLLa Compass Spring 2024,2024-04-01,parivision,metizport,-1,29,W,42.833333333333336,23.0
57,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-01,gamerlegion,gun5,21,-1,W,33.57142857142857,22.9
58,PGL CS2 Major Copenhagen 2024,2024-03-31,faze,natus vincere,1,2,L,55.714285714285715,26.6
59,ESL Challenger League Season 47 Europe,2024-03-31,monte,rush b,22,-1,L,43.5,21.3
60,Showmatch CS,2024-03-31,ecstatic,denmark,18,-1,L,63.833333333333336,23.4
61,ESL Challenger League Season 47 Europe,2024-03-31,apeks,b8,20,-1,L,39.166666666666664,25.7
62,PGL CS2 Major Copenhagen 2024,2024-03-31,natus vincere,g2,2,5,W,67.66666666666667,23.4
63,PGL CS2 Major Copenhagen 2024,2024-03-30,vitality,faze,4,1,L,59.0,24.9
64,PGL CS2 Major Copenhagen 2024,2024-03-29,mouz,g2,6,5,L,57.5,20.5
65,PGL CS2 Major Copenhagen 2024,2024-03-29,eternal fire,natus vincere,8,2,L,59.0,26.5
66,PGL CS2 Major Copenhagen 2024,2024-03-28,spirit,faze,3,1,L,74.16666666666667,21.3
67,ESL Challenger League Season 47 Europe,2024-03-28,monte,betera,22,-1,L,43.5,21.3
68,PGL CS2 Major Copenhagen 2024,2024-03-28,cloud9,vitality,7,4,L,54.333333333333336,25.4
69,ESL Challenger League Season 47 Europe,2024-03-28,eyeballers,koi,-1,26,W,41.0,25.4
70,ESL Challenger League Season 47 Europe,2024-03-28,apeks,3dmax,20,-1,L,39.166666666666664,25.7
71,ESL Challenger League Season 47 South America,2024-03-28,case,mibr,-1,27,L,50.5,22.5
72,ESL Challenger League Season 47 South America,2024-03-28,mibr,case,27,-1,W,64.66666666666667,23.5
73,ESL Challenger Jönköping 2024 Europe Open Qualifier,2024-03-27,aurora,metizport,28,29,W,68.5,22.4
74,ESL Challenger Jönköping 2024 Europe Open Qualifier,2024-03-27,navi junior,metizport,-1,29,L,32.666666666666664,0
75,ESL Challenger Jönköping 2024 Europe Open Qualifier,2024-03-27,betboom,blessed,30,-1,L,53.0,22.0
76,ESL Challenger League Season 47 South America,2024-03-27,oddik,mibr,-1,27,L,40.833333333333336,25.2
77,ESL Challenger League Season 47 South America,2024-03-27,mibr,oddik,27,-1,W,64.66666666666667,23.5
78,ESL Challenger League Season 47 Europe,2024-03-26,monte,system5,22,-1,W,43.5,21.3
79,ESL Challenger League Season 47 Europe,2024-03-26,apeks,forze,20,-1,L,39.166666666666664,25.7
80,PGL CS2 Major Copenhagen 2024,2024-03-24,natus vincere,pain,2,14,W,67.66666666666667,23.4
81,PGL CS2 Major Copenhagen 2024,2024-03-24,virtus.pro,g2,9,5,L,65.5,24.3
82,Skyesports Masters 2024 Europe Closed Qualifier,2024-03-24,betboom,forze,30,-1,L,53.0,22.0
83,PGL CS2 Major Copenhagen 2024,2024-03-24,complexity,faze,13,1,L,41.0,24.6
84,PGL CS2 Major Copenhagen 2024,2024-03-23,cloud9,natus vincere,7,2,W,54.333333333333336,25.4
85,PGL CS2 Major Copenhagen 2024,2024-03-23,heroic,pain,11,14,L,58.166666666666664,24.2
86,PGL CS2 Major Copenhagen 2024,2024-03-23,complexity,vitality,13,4,L,41.0,24.6
87,PGL CS2 Major Copenhagen 2024,2024-03-23,ecstatic,g2,18,5,L,63.833333333333336,23.4
88,PGL CS2 Major Copenhagen 2024,2024-03-23,eternal fire,virtus.pro,8,9,W,59.0,26.5
89,PGL CS2 Major Copenhagen 2024,2024-03-23,imperial,faze,19,1,L,70.66666666666667,24.0
90,Skyesports Masters 2024 Europe Closed Qualifier,2024-03-23,betboom,fnatic,30,-1,W,53.0,22.0
91,PGL CS2 Major Copenhagen 2024,2024-03-22,ecstatic,furia,18,15,W,63.833333333333336,23.4
92,PGL CS2 Major Copenhagen 2024,2024-03-22,spirit,natus vincere,3,2,W,74.16666666666667,21.3
93,PGL CS2 Major Copenhagen 2024,2024-03-22,pain,themongolz,14,16,W,69.66666666666667,22.0
94,PGL CS2 Major Copenhagen 2024,2024-03-22,mouz,complexity,6,13,W,57.5,20.5
95,PGL CS2 Major Copenhagen 2024,2024-03-22,imperial,vitality,19,4,L,70.66666666666667,24.0
96,PGL CS2 Major Copenhagen 2024,2024-03-22,eternal fire,faze,8,1,W,59.0,26.5
97,PGL CS2 Major Copenhagen 2024,2024-03-22,g2,cloud9,5,7,L,52.0,26.0
98,PGL CS2 Major Copenhagen 2024,2024-03-22,heroic,virtus.pro,11,9,L,58.166666666666664,24.2
99,PGL CS2 Major Copenhagen 2024,2024-03-21,spirit,imperial,3,19,W,74.16666666666667,21.3
100,PGL CS2 Major Copenhagen 2024,2024-03-21,faze,furia,1,15,W,55.714285714285715,26.6
101,PGL CS2 Major Copenhagen 2024,2024-03-21,natus vincere,g2,2,5,W,67.66666666666667,23.4
102,PGL CS2 Major Copenhagen 2024,2024-03-21,cloud9,ecstatic,7,18,W,54.333333333333336,25.4
103,PGL CS2 Major Copenhagen 2024,2024-03-21,complexity,heroic,13,11,W,41.0,24.6
104,PGL CS2 Major Copenhagen 2024,2024-03-21,virtus.pro,pain,9,14,W,65.5,24.3
105,PGL CS2 Major Copenhagen 2024,2024-03-21,mouz,eternal fire,6,8,W,57.5,20.5
106,PGL CS2 Major Copenhagen 2024,2024-03-21,vitality,themongolz,4,16,W,59.0,24.9
107,PGL CS2 Major Copenhagen 2024,2024-03-21,spirit,cloud9,3,7,W,74.16666666666667,21.3
108,PGL CS2 Major Copenhagen 2024,2024-03-21,g2,furia,5,15,W,52.0,26.0
109,PGL CS2 Major Copenhagen 2024,2024-03-21,faze,heroic,1,11,L,55.714285714285715,26.6
110,PGL CS2 Major Copenhagen 2024,2024-03-21,complexity,pain,13,14,W,41.0,24.6
111,PGL CS2 Major Copenhagen 2024,2024-03-21,vitality,eternal fire,4,8,L,59.0,24.9
112,Skyesports Masters 2024 Europe Closed Qualifier,2024-03-21,betboom,b8,30,-1,W,53.0,22.0
113,PGL CS2 Major Copenhagen 2024,2024-03-21,virtus.pro,imperial,9,19,L,65.5,24.3
114,PGL CS2 Major Copenhagen 2024,2024-03-21,mouz,ecstatic,6,18,W,57.5,20.5
115,PGL CS2 Major Copenhagen 2024,2024-03-21,natus vincere,themongolz,2,16,W,67.66666666666667,23.4
116,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-20,saw,furia,17,15,L,70.0,26.1
117,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-20,imperial,gamerlegion,19,21,W,70.66666666666667,24.0
118,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-20,legacy,themongolz,24,16,L,52.285714285714285,23.7
119,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-19,ecstatic,imperial,18,19,W,63.833333333333336,23.4
120,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-19,ence,furia,12,15,L,50.5,25.6
121,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-19,saw,pain,17,14,L,70.0,26.1
122,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-19,legacy,apeks,24,20,W,52.285714285714285,23.7
123,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-19,eternal fire,gamerlegion,8,21,W,59.0,26.5
124,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-19,lynn vision,themongolz,-1,16,L,50.5,20.6
125,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-18,koi,furia,26,15,L,57.833333333333336,25.7
126,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-18,cloud9,saw,7,17,W,54.333333333333336,25.4
127,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-18,themongolz,amkal,16,-1,W,71.33333333333333,19.6
128,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-18,heroic,eternal fire,11,8,W,58.166666666666664,24.2
129,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-18,ecstatic,lynn vision,18,-1,W,63.833333333333336,23.4
130,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-18,gamerlegion,legacy,21,24,W,33.57142857142857,22.9
131,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-18,imperial,apeks,19,20,W,70.66666666666667,24.0
132,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-18,pain,ence,14,12,W,69.66666666666667,22.0
133,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,furia,lynn vision,15,-1,L,60.166666666666664,27.1
134,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,gamerlegion,saw,21,17,L,33.57142857142857,22.9
135,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,ence,koi,12,26,W,50.5,25.6
136,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,cloud9,legacy,7,24,W,54.333333333333336,25.4
137,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,apeks,amkal,20,-1,W,39.166666666666664,25.7
138,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,heroic,imperial,11,19,W,58.166666666666664,24.2
139,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,ecstatic,themongolz,18,16,W,63.833333333333336,23.4
140,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,eternal fire,pain,8,14,W,59.0,26.5
141,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,furia,legacy,15,24,L,60.166666666666664,27.1
142,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,gamerlegion,amkal,21,-1,W,33.57142857142857,22.9
143,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,saw,koi,17,26,W,70.0,26.1
144,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,ence,imperial,12,19,L,50.5,25.6
145,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,heroic,lynn vision,11,-1,W,58.166666666666664,24.2
146,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,apeks,pain,20,14,L,39.166666666666664,25.7
147,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,cloud9,ecstatic,7,18,W,54.333333333333336,25.4
148,PGL CS2 Major Copenhagen 2024 Opening Stage,2024-03-17,eternal fire,themongolz,8,16,W,59.0,26.5
149,Elisa Invitational Spring 2024 Contenders,2024-03-15,metizport,ex-eneida,29,-1,L,51.857142857142854,20.7
150,ESL Challenger League Season 47 South America,2024-03-15,sharks,mibr,-1,27,L,52.0,23.0
151,ESL Challenger League Season 47 South America,2024-03-15,mibr,sharks,27,-1,W,64.66666666666667,23.5
152,Elisa Invitational Spring 2024 Contenders,2024-03-14,metizport,alternate attax,29,-1,L,51.857142857142854,20.7
153,ESL Challenger League Season 47 Europe,2024-03-13,system5,saw,-1,17,L,19.333333333333332,24.8
154,ESL Challenger League Season 47 Europe,2024-03-13,monte,pera,22,-1,W,43.5,21.3
155,ESL Challenger League Season 47 Europe,2024-03-13,sangal,koi,-1,26,L,50.5,0
156,IEM Dallas 2024 Europe Closed Qualifier,2024-03-13,heroic,metizport,11,29,W,58.166666666666664,24.2
157,RES Regional Series 2 LATAM,2024-03-12,mibr,fluxo,27,-1,L,64.66666666666667,23.5
158,IEM Dallas 2024 Europe Closed Qualifier,2024-03-12,metizport,b8,29,-1,W,51.857142857142854,20.7
159,IEM Dallas 2024 Europe Closed Qualifier,2024-03-12,heroic,virtus.pro,11,9,L,58.166666666666664,24.2
160,IEM Dallas 2024 Europe Closed Qualifier,2024-03-12,ence,b8,12,-1,L,50.5,25.6
161,IEM Dallas 2024 Europe Closed Qualifier,2024-03-12,metizport,apeks,29,20,W,51.857142857142854,20.7
162,IEM Dallas 2024 Europe Closed Qualifier,2024-03-11,virtus.pro,apeks,9,20,W,65.5,24.3
163,IEM Dallas 2024 Europe Closed Qualifier,2024-03-11,metizport,preasy,29,-1,W,51.857142857142854,20.7
164,IEM Dallas 2024 Europe Closed Qualifier,2024-03-11,ence,heroic,12,11,L,50.5,25.6
165,IEM Dallas 2024 Europe Closed Qualifier,2024-03-11,b8,koi,-1,26,W,65.5,20.5
166,IEM Dallas 2024 Europe Closed Qualifier,2024-03-11,koi,apeks,26,20,L,57.833333333333336,25.7
167,IEM Dallas 2024 Europe Closed Qualifier,2024-03-11,virtus.pro,b8,9,-1,W,65.5,24.3
168,IEM Dallas 2024 Europe Closed Qualifier,2024-03-11,heroic,preasy,11,-1,W,58.166666666666664,24.2
169,IEM Dallas 2024 Europe Closed Qualifier,2024-03-11,metizport,ence,29,12,L,51.857142857142854,20.7
170,RES Regional Series 2 LATAM,2024-03-11,galorys,mibr,-1,27,L,44.166666666666664,22.3
171,BLAST Premier Spring Showdown 2024,2024-03-10,metizport,spirit,29,3,L,51.857142857142854,20.7
172,BLAST Premier Spring Showdown 2024,2024-03-10,saw,og,17,-1,W,70.0,26.1
173,BLAST Premier Spring Showdown 2024,2024-03-09,spirit,big,3,-1,W,74.16666666666667,21.3
174,BLAST Premier Spring Showdown 2024,2024-03-09,metizport,monte,29,22,W,51.857142857142854,20.7
175,BLAST Premier Spring Showdown 2024,2024-03-09,heroic,og,11,-1,L,58.166666666666664,24.2
176,ESL Challenger Jönköping 2024 Sweden Open Qualifier,2024-03-09,eyeballers,metizport,-1,29,W,41.0,25.4
177,ESL Challenger Jönköping 2024 Sweden Open Qualifier,2024-03-09,metizport,lemondogs,29,-1,W,51.857142857142854,20.7
178,RES Regional Series 2 LATAM,2024-03-08,mibr,la rugoneta,27,-1,W,64.66666666666667,23.5
179,BLAST Premier Spring Showdown 2024,2024-03-08,cloud9,saw,7,17,L,54.333333333333336,25.4
180,BLAST Premier Spring Showdown 2024,2024-03-08,gamerlegion,big,21,-1,L,33.57142857142857,22.9
181,BLAST Premier Spring Showdown 2024,2024-03-08,spirit,elevate,3,-1,W,74.16666666666667,21.3
182,Elisa Invitational Spring 2024 Contenders,2024-03-08,metizport,secret,29,-1,W,51.857142857142854,20.7
183,BLAST Premier Spring Showdown 2024,2024-03-08,monte,imperial,22,19,W,43.5,21.3
184,BLAST Premier Spring Showdown 2024,2024-03-07,complexity,og,13,-1,L,41.0,24.6
185,ESL Challenger League Season 47 Europe,2024-03-07,apeks,space,20,-1,W,39.166666666666664,25.7
186,BLAST Premier Spring Showdown 2024,2024-03-07,liquid,saw,-1,17,L,66.16666666666667,25.2
187,ESL Challenger League Season 47 Europe,2024-03-06,9 pandas,koi,23,26,L,51.857142857142854,26.0
188,BLAST Premier Spring Showdown 2024,2024-03-06,falcons,metizport,10,29,L,44.166666666666664,28.4
189,ESL Challenger League Season 47 Europe,2024-03-06,apeks,parivision,20,-1,L,39.166666666666664,25.7
190,BLAST Premier Spring Showdown 2024,2024-03-06,heroic,ninjas in pyjamas,11,-1,W,58.166666666666664,24.2
191,BLAST Premier Spring Showdown 2024,2024-03-06,cloud9,rare atom,7,-1,W,54.333333333333336,25.4
192,IEM Dallas 2024 Europe Open Qualifier 2,2024-03-05,koi,forze,26,-1,W,57.833333333333336,25.7
193,ESL Challenger League Season 47 Europe,2024-03-05,monte,saw,22,17,L,43.5,21.3
194,IEM Dallas 2024 Europe Open Qualifier 2,2024-03-05,koi,nemiga,26,-1,W,57.833333333333336,25.7
195,IEM Dallas 2024 Europe Open Qualifier 2,2024-03-05,koi,sprout,26,-1,W,57.833333333333336,25.7
196,RES Regional Series 1 Europe,2024-03-05,betboom,bleed,30,-1,L,53.0,22.0
197,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-05,complexity,liquid,13,-1,W,41.0,24.6
198,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-04,m80,legacy,-1,24,L,51.857142857142854,23.0
199,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-04,pain,oddik,14,-1,W,69.66666666666667,22.0
200,RES Regional Series 1 Europe,2024-03-04,betboom,ecstatic,30,18,W,53.0,22.0
201,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-04,legacy,mibr,24,27,W,52.285714285714285,23.7
202,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-03,furia,complexity,15,13,W,60.166666666666664,27.1
203,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,metizport,the chosen few,29,-1,W,51.857142857142854,20.7
204,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,preasy,ecstatic,-1,18,W,1,20.6
205,RES Regional Series 1 Europe,2024-03-03,big,young ninjas,-1,-1,L,43.0,24.7
206,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-03,pain,imperial,14,19,L,69.66666666666667,22.0
207,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,ecstatic,fnatic,18,-1,W,63.833333333333336,23.4
208,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,ilin,metizport,-1,29,L,37.5,21.9
209,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,preasy,betboom,-1,30,W,1,20.6
210,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,koi,the chosen few,26,-1,L,57.833333333333336,25.7
211,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,rush b,metizport,-1,29,L,57.833333333333336,25.7
212,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,betboom,sprout,30,-1,W,53.0,22.0
213,IEM Dallas 2024 Europe Open Qualifier 1,2024-03-03,ecstatic,sinners,18,-1,W,63.833333333333336,23.4
214,Elisa Invitational Spring 2024 Contenders,2024-03-03,metizport,eclot,29,-1,L,51.857142857142854,20.7
215,RES Regional Series 1 Europe,2024-03-03,ecstatic,monte,18,22,W,63.833333333333336,23.4
216,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-02,nouns,legacy,-1,24,L,63.0,24.2
217,RES Regional Series 1 Europe,2024-03-02,monte,3dmax,22,-1,L,43.5,21.3
218,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-02,mibr,nrg,27,-1,W,64.66666666666667,23.5
219,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-02,furia,liquid,15,-1,W,60.166666666666664,27.1
220,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-02,m80,imperial,-1,19,L,51.857142857142854,23.0
221,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-02,pain,red canids,14,-1,W,69.66666666666667,22.0
222,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-02,complexity,boss,13,-1,W,41.0,24.6
223,RES Regional Series 1 Europe,2024-03-02,parivision,ecstatic,-1,18,L,42.833333333333336,23.0
224,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-01,imperial,nrg,19,-1,W,70.66666666666667,24.0
225,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-01,pain,legacy,14,24,W,69.66666666666667,22.0
226,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-01,mibr,boss,27,-1,L,64.66666666666667,23.5
227,RES Regional Series 1 Europe,2024-03-01,betboom,preasy,30,-1,W,53.0,22.0
228,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-01,furia,nouns,15,-1,W,60.166666666666664,27.1
229,PGL CS2 Major Copenhagen 2024 Americas RMR,2024-03-01,complexity,elevate,13,-1,W,41.0,24.6
230,ESL Challenger Melbourne 2024 Europe Closed Qualifier,2024-03-01,9 pandas,aurora,23,28,L,51.857142857142854,26.0
231,RES Regional Series 1 Europe,2024-03-01,big,amkal,-1,-1,W,43.0,24.7
232,ESL Challenger Melbourne 2024 Europe Closed Qualifier,2024-02-29,koi,aurora,26,28,L,57.833333333333336,25.7
233,ESL Challenger Melbourne 2024 Europe Closed Qualifier,2024-02-29,9 pandas,forze,23,-1,L,51.857142857142854,26.0
234,RES Regional Series 1 Europe,2024-02-29,3dmax,ecstatic,-1,18,W,51.857142857142854,26.0
235,YaLLa Compass Spring 2024 Contenders,2024-02-29,endpoint,metizport,-1,29,L,44.142857142857146,0
236,ESL Challenger Melbourne 2024 Europe Closed Qualifier,2024-02-29,havu,koi,-1,26,L,25.714285714285715,24.7
237,RES Regional Series 1 Europe,2024-02-29,monte,parivision,22,-1,W,43.5,21.3
238,ESL Challenger Melbourne 2024 Europe Closed Qualifier,2024-02-28,forze,koi,-1,26,W,1,0
239,ESL Challenger Melbourne 2024 Europe Closed Qualifier,2024-02-28,9 pandas,spirit academy,23,-1,W,51.857142857142854,26.0
240,ESL Challenger Melbourne 2024 Europe Closed Qualifier,2024-02-28,koi,ex-eneida,26,-1,W,57.833333333333336,25.7
241,ESL Challenger Melbourne 2024 Europe Closed Qualifier,2024-02-28,lotus,9 pandas,-1,23,L,41.5,24.0
242,RES Regional Series 1 Europe,2024-02-28,betboom,alternate attax,30,-1,W,53.0,22.0
243,RES Regional Series 1 Europe,2024-02-28,big,bleed,-1,-1,L,43.0,24.7
244,Elisa Invitational Spring 2024 Contenders,2024-02-28,metizport,inglorious,29,-1,W,51.857142857142854,20.7
245,PGL CS2 Major Copenhagen 2024 Asia RMR,2024-02-28,themongolz,lynn vision,16,-1,W,71.33333333333333,19.6
246,ESL Challenger Melbourne 2024 Europe Open Qualifier,2024-02-27,guild eagles,metizport,-1,29,W,42.0,26.5
247,ESL Challenger League Season 47 Europe,2024-02-26,saw,rush b,17,-1,W,70.0,26.1
